[2026-02-26T10:10:20.949046] 数据桥接服务启动
扫描目录: /root/.openclaw/agents/main/sessions/
输出目录: /root/.openclaw/workspace/agent-dashboard-public/data/
[2026-02-26T10:29:06.409460] 更新完成: 22 sessions, 0 active
[2026-02-26T10:29:09.410718] 更新完成: 22 sessions, 0 active
[2026-02-26T10:29:12.411887] 更新完成: 22 sessions, 0 active
[2026-02-26T10:29:15.413081] 更新完成: 22 sessions, 0 active
[2026-02-26T10:29:18.414226] 更新完成: 22 sessions, 0 active
[2026-02-26T10:29:21.415356] 更新完成: 22 sessions, 0 active
[2026-02-26T10:29:24.416511] 更新完成: 22 sessions, 0 active
[2026-02-26T10:29:27.417689] 更新完成: 22 sessions, 0 active
[2026-02-26T10:29:30.419487] 更新完成: 22 sessions, 0 active
[2026-02-26T10:29:33.420732] 更新完成: 22 sessions, 0 active
